#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU518	0	0	0	1	0	0	0	0	42	42	41	0	0	1	0	0	0	0	0	0	0	43	0	0	39	0	0	80	61	65	72	0	0	75	0	1	64	0	0	23	37	49	59
OTU313	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	7	0	0	12	0	0	194	0	0	3	0	0	0	1	0	1
OTU680	0	0	0	1	1	1	0	0	29	42	8	0	0	1	1	0	0	0	1	0	3	3	0	0	1	0	0	1	2	1	3	4	0	19	0	0	2	0	0	0	0	0	0
OTU1237	0	0	0	1	1	35	9	5	6	5	18	3	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU920	0	0	0	1	1	2	2	2	81	84	63	0	1	3	1	0	1	0	1	1	0	66	1	1	70	1	0	122	83	91	87	0	0	134	0	2	106	0	1	50	60	60	66
OTU722	0	0	0	2	1	0	1	0	34	35	13	9	0	0	0	0	1	0	0	0	0	6	0	0	1	0	0	2	1	10	6	0	0	3	5	3	6	0	0	0	3	0	5
OTU241	0	0	0	5	1	0	0	1	1	1	0	2	0	1	1	0	0	0	1	0	1	5	1	0	0	2	0	1	55	3	4	0	1	1	1	0	2	0	0	0	0	4	1
OTU279	0	0	0	14	4	0	5	0	92	112	101	15	12	0	3	1	2	0	0	0	0	13	0	0	3	0	0	0	10	3	9	2	0	29	6	3	14	4	0	0	11	0	1
OTU1331	0	0	0	1	1	0	0	0	15	22	6	15	0	1	0	1	7	0	0	0	0	1	0	1	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1039	0	0	0	1	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
OTU200	0	0	0	1	2	1	1	0	69	75	46	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	2	0	1	0	2	0	0	0	0	2	0	1
OTU901	0	0	0	1	1	2	0	0	2	3	3	1	0	1	1	1	0	0	1	0	0	3	0	1	0	0	0	0	54	159	0	0	0	11	1	0	51	0	0	0	10	0	1
OTU323	0	0	0	1	5	3	0	2	104	98	93	1	1	0	0	1	1	0	0	0	0	3	0	0	2	0	0	8	0	1	22	0	0	10	1	4	2	1	1	0	0	1	0
OTU585	0	0	0	3	3	0	3	3	34	48	51	3	0	0	3	1	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	1	0	0	5	1	4	0	0	1	0	5
OTU364	0	0	0	5	2	1	13	3	83	164	129	2	0	0	1	0	0	1	1	0	0	6	0	0	2	1	0	3	1	0	3	1	2	2	1	0	27	3	0	1	2	1	7
OTU339	0	0	0	5	3	5	3	1	29	29	54	5	1	10	2	6	0	0	0	0	0	2	0	0	0	0	0	1	1	70	2	1	0	1	1	7	4	0	0	0	1	0	0
OTU1275	0	0	0	2	0	0	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	3	1	2	0	28	0	0	9	0	0	0	2	0	3
OTU410	0	0	0	5	0	0	0	0	20	29	23	17	0	3	0	0	2	0	0	0	0	6	1	0	3	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	1	2	0
OTU344	0	0	0	1	2	0	20	3	77	78	39	1	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	1	2	1	0	0	7	1	0	4	1	0	0	5	1	1
OTU882	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	2	12	67	4	0	0	18	0	1	20	0	0	2	6	2	6
OTU258	0	0	0	3	8	92	25	13	74	81	121	20	0	5	0	31	3	0	1	0	0	17	0	0	1	0	0	0	1	49	0	0	0	3	1	6	2	0	1	0	0	0	1
OTU1203	0	0	0	2	1	2	1	0	7	4	15	2	0	1	1	0	1	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	0	3	0	0	10	0	0	0	1	1	1
OTU678	0	0	0	2	0	0	0	0	43	31	26	0	1	2	0	0	0	1	0	0	0	0	0	1	2	0	0	1	2	4	2	0	0	3	2	3	1	0	0	0	1	1	1
OTU488	0	0	0	1	2	0	0	0	47	67	60	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	6	1	0	0	0	1	0	0
OTU572	0	0	0	2	0	0	1	0	11	16	7	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	2	0	0	0	2	0	0	0	0	0	4	1	2
OTU417	0	0	0	2	5	14	10	13	52	76	78	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	25	0	0	0	1	0	1	0	0	0	1	0	0	1
OTU10	0	0	0	2	4	0	2	0	83	103	60	1	0	0	0	1	0	1	1	0	1	1301	2	1	1928	3	1	2464	182	1423	2616	0	0	1565	1	5	886	1	0	0	334	960	964
OTU1247	0	0	0	1	1	12	2	2	25	24	22	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	5	0	1	0	1	0	0	2	0	0	0	0	0	2
OTU526	0	0	0	3	0	0	0	0	2	10	22	0	0	62	0	2	0	0	0	0	0	14	0	0	14	0	0	7	1	2	3	6	0	3	0	0	5	0	0	0	0	0	1
OTU133	0	0	0	2	14	2	41	6	690	719	526	0	0	0	1	0	3	0	0	0	0	8	0	0	0	0	0	4	7	4	13	1	0	1	0	6	22	4	0	0	1	0	5
OTU820	0	0	0	2	0	0	0	0	11	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	23	0	0	62	21	12	31
OTU292	0	0	0	2	2	1	0	0	3	9	8	0	0	2	0	0	0	0	9	0	3	7	0	0	21	0	1	9	0	12	10	1	2	17	0	0	12	2	0	0	5	5	6
OTU1117	0	0	0	2	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	1	0	0	0	0	0	37	0	0	11	0	0	13	5	1	12
OTU666	0	0	0	1	0	1	0	0	34	20	27	9	2	0	0	0	0	0	0	0	0	10	1	0	0	0	0	2	2	0	0	0	0	3	0	2	11	1	1	9	9	1	3
OTU984	0	0	0	2	0	0	14	3	66	54	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU175	0	0	0	1	10	4	1	2	26	28	18	3	0	0	0	0	0	2	0	1	2	1	0	0	1	0	1	1	100	9	0	1	0	0	0	3	1	0	0	0	1	3	0
OTU468	0	0	0	3	0	0	0	0	107	145	93	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	15	0	1	9	0	0	5	0	0	0	0	0	0	0	3	0
OTU1216	0	0	0	1	0	0	6	1	16	15	14	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	0	1	40	4	0	0	4	3	0	9	4	0	2	4	1	0
OTU731	0	0	0	1	0	3	81	1	2	3	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	1	1	0	1
OTU280	0	0	0	1	2	0	0	1	5	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	27	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1254	0	0	0	2	6	0	32	4	97	49	56	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	8	0	0	0	0	1	0	1
OTU851	0	0	0	1	0	0	1	0	87	57	33	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	2	5	3	0	0	0	2	0	1
OTU396	0	0	0	2	4	11	18	0	5	7	9	18	2	34	2	14	6	0	1	0	0	1	0	0	0	0	0	0	128	4	0	0	0	12	12	3	3	1	0	27	1	0	1
OTU729	0	0	0	1	0	9	0	0	17	23	19	3	0	0	0	0	1	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	4	0	0	3	1	0	0	2	1	0
OTU435	0	0	0	3	0	0	0	1	61	61	42	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	1	0	0	0	0	0	2	0	0	0	3	0	0
OTU268	0	0	0	1	0	0	0	0	4	2	5	0	0	0	0	0	0	0	0	0	0	9	0	0	89	0	0	7	11	2	1	0	0	6	0	0	10	0	0	0	5	2	5
OTU809	0	0	0	1	3	0	0	0	6	1	0	3	0	0	0	0	2	0	3	1	0	7	0	0	0	0	0	0	0	29	2	0	0	8	0	1	1	0	0	0	2	0	3
OTU521	0	0	0	3	0	1	0	1	9	17	4	0	0	0	1	0	0	1	0	0	0	4	0	0	5	0	0	2	1	0	0	1	0	2	0	0	2	0	1	0	0	0	2
OTU461	0	0	0	2	0	0	0	0	2	7	10	0	0	0	1	0	0	0	0	1	2	10	0	0	20	0	0	24	0	15	18	0	0	9	0	0	6	0	0	1	2	3	15
OTU1	0	0	0	1	0	0	0	1	27	73	32	0	0	2	0	0	0	0	0	0	0	1.209e+04	0	0	1.533e+04	0	0	9698	3.182e+04	1.534e+04	2.345e+04	0	0	1.152e+04	0	1	1.069e+04	2	0	8	6894	1.039e+04	6205
OTU689	0	0	0	1	2	10	0	0	6	5	20	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	1	1	0
OTU1126	0	0	0	1	0	0	0	0	16	33	5	2	0	0	0	0	2	0	0	1	0	4	0	0	2	0	0	8	4	5	0	0	0	3	0	0	8	0	0	0	5	3	2
OTU70	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	6	0	0	19	0	0	21	13	5	13	0	0	525	1	0	1	0	0	2	9	2	10
OTU1077	0	0	0	1	3	0	2	0	25	16	8	6	2	2	0	0	1	0	0	0	0	2	0	0	0	0	1	2	2	0	1	0	0	1	0	1	3	0	0	1	1	1	0
OTU706	0	0	0	1	2	4	0	5	26	26	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0	0	0	1	0	1	3	1	0	0	2	0	0
OTU248	0	0	0	1	10	23	5	11	168	133	184	5	1	3	2	3	7	0	2	0	0	20	0	0	13	0	0	2	3	128	0	1	0	6	1	11	13	5	1	1	4	0	6
OTU424	0	0	0	4	2	57	5	2	18	17	11	49	15	87	1	8	0	0	0	0	0	1	0	0	1	0	0	1	10	2	2	4	0	1	1	3	2	4	0	0	3	1	1
OTU1271	0	0	0	2	8	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU285	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	16	0	0	13	0	0	58	53	14	30
OTU177	0	0	0	1	3	0	3	3	597	840	674	0	0	0	0	0	1	0	0	0	3	16	0	0	4	0	0	3	27	1	8	0	0	1	5	6	6	2	0	0	11	1	1
OTU905	0	0	0	5	0	0	4	0	12	8	8	4	1	0	0	0	0	0	4	0	0	9	1	0	0	1	0	1	1	0	2	0	0	2	0	0	9	0	0	10	5	4	4
OTU967	0	0	0	2	0	9	8	2	25	18	25	10	3	1	2	4	0	0	0	0	0	2	0	0	1	0	0	0	0	5	1	0	0	1	0	2	1	2	0	1	0	1	0
OTU874	0	0	0	2	0	1	0	3	28	21	28	0	2	0	0	0	1	0	1	0	0	22	0	0	3	0	0	19	16	107	15	0	0	25	0	0	14	1	0	8	9	10	8
OTU114	0	0	0	1	0	2	0	0	1	2	2	0	0	0	0	0	2	1	0	7	0	55	0	0	64	0	0	20	1	24	18	0	0	36	2	0	143	0	0	0	8	3	20
OTU1105	0	0	0	4	0	0	1	0	6	15	6	1	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	2	18	1	1	0	0	6	0	0	2	1	1	0	2	1	0
OTU320	0	0	0	3	0	0	2	2	78	104	39	0	0	0	0	0	2	0	0	0	1	2	0	0	3	0	0	0	3	1	0	0	0	1	0	0	2	1	0	0	3	1	0
OTU1096	0	0	0	2	0	0	1	0	17	32	9	0	0	1	0	0	0	0	0	0	1	10	0	0	7	0	0	3	2	8	0	0	0	6	0	3	13	0	0	0	4	1	3
OTU979	0	0	0	1	0	0	1	0	17	7	26	1	1	0	0	0	0	0	0	0	0	2	1	0	2	0	0	3	2	1	0	0	1	3	0	0	6	0	0	0	2	1	0
OTU502	0	0	0	1	0	1	1	4	87	37	75	10	0	0	0	2	0	0	0	0	0	6	0	0	2	0	0	1	0	0	0	0	0	2	3	9	1	4	0	0	1	0	0
OTU347	0	0	0	1	0	1	0	0	120	132	90	5	0	0	1	2	0	0	0	0	0	6	0	1	2	0	0	4	1	1	2	0	1	4	0	3	3	2	0	0	0	2	3
OTU832	0	0	0	1	0	8	4	9	6	12	13	2	0	1	0	5	0	0	0	0	0	2	0	0	0	0	0	0	3	117	0	0	0	3	1	1	3	0	0	0	1	2	0
OTU589	0	0	0	1	0	0	0	0	7	4	15	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU289	0	0	0	1	0	0	2	1	5	4	2	5	0	1	0	0	0	0	0	0	0	5	0	0	62	0	0	5	14	0	1	0	0	2	1	0	6	1	0	2	1	4	3
OTU400	0	0	0	3	0	0	0	0	4	7	2	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	3	1	0	0	0	1	3	0	0	3	1	0	0	1	1	1
OTU392	0	0	0	1	3	1	0	1	44	45	18	10	2	1	0	0	0	0	0	0	0	7	0	0	2	0	0	5	0	1	1	1	0	12	1	4	3	1	0	1	0	1	1
OTU805	0	0	0	1	0	0	2	0	16	22	13	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1
OTU571	0	0	0	1	0	0	0	0	12	12	16	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0
OTU272	0	0	0	1	1	0	0	0	19	30	17	2	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	3	2	0	0	0	0	0	1	0	1	0	0	0	1	0	1
OTU1121	0	0	0	2	0	0	0	0	17	12	5	2	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	4	0	0	1	0	0	1	0	2	0
OTU209	0	0	0	1	0	2	0	3	1	5	6	1	1	0	0	0	2	0	0	0	0	6	0	0	15	1	0	10	98	1	6	0	0	21	1	0	90	0	0	59	58	20	31
OTU1134	0	0	0	0	9	3	5	16	9	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
OTU103	0	0	0	0	5	1	7	2	253	178	161	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	1	11	5	1	7	0	0	0	8	0
OTU148	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	178	0	0	0	0	0	0	2	0	0	0	1	1	0
OTU425	0	0	0	0	3	4	0	5	59	33	39	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
OTU834	0	0	0	0	15	4	0	12	28	18	31	1	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0
OTU365	0	0	0	0	10	0	0	5	261	150	129	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	4	0	1	5	13	6	0	0	0	1	0	0
OTU107	0	0	0	0	1	2	0	0	152	179	202	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	2	2	0	0	0	1	1	5	1	0	2	0	2	0	2
OTU1091	0	0	0	0	2	0	2	0	5	11	2	1	0	0	0	0	0	0	0	0	0	2	2	0	5	3	0	1	1	4	0	0	0	22	0	0	5	0	0	0	1	3	3
OTU1318	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0
OTU1194	0	0	0	0	1	5	1	1	6	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
OTU90	0	0	0	0	1	1	1	3	27	34	26	0	0	0	1	0	0	0	0	6	3	2	34	0	1	251	2	10	58	1	0	309	1	86	22	3	14	203	0	2	41	20	0
OTU579	0	0	0	0	3	0	1	8	88	112	107	0	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0
OTU165	0	0	0	0	1	0	0	0	0	0	2	1	1	0	2	0	0	0	1	1	0	21	0	0	47	0	0	30	0	5	7	0	0	433	0	0	9	1	1	0	15	11	12
OTU734	0	0	0	0	1	8	0	3	26	22	19	4	0	0	0	1	2	1	0	0	1	4	0	0	6	0	0	4	1	4	0	10	0	14	4	3	1	0	0	0	0	3	1
OTU787	0	0	0	0	1	0	0	1	6	3	6	0	0	0	0	0	0	1	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	2	0	0	3	0	0	1	1	1	1
OTU938	0	0	0	0	3	16	0	8	133	145	166	3	3	18	0	6	4	0	0	0	0	2	0	0	0	0	0	2	3	4	1	0	0	6	2	8	4	9	0	0	0	0	3
OTU143	0	0	0	0	8	0	0	0	23	40	64	0	0	2	0	0	0	0	0	0	1	8	0	0	2	0	0	0	2	285	1	0	0	0	0	0	3	0	0	0	4	0	1
OTU244	0	0	0	0	26	0	0	0	4	13	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU496	0	0	0	0	4	0	7	1	57	59	48	10	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	2	0	0	0	4	0	1	7	5	0	10	0	0	0	0	0
OTU992	0	0	0	0	13	18	2	2	90	106	192	11	1	16	0	8	5	2	0	0	1	1	0	0	1	0	0	2	2	28	0	0	0	4	4	5	2	3	0	3	0	1	0
OTU839	0	0	0	0	1	0	0	0	3	8	2	0	0	2	0	0	0	0	1	0	0	1	1	0	3	0	0	5	2	5	13	1	0	25	0	1	4	0	1	0	7	0	6
OTU1338	0	0	0	0	1	0	0	0	17	30	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1
OTU599	0	0	0	0	1	1	1	0	5	6	8	0	0	3	2	3	2	3	1	0	0	1	0	0	0	0	1	4	1	3	0	2	0	7	1	0	1	0	0	1	2	0	0
OTU937	0	0	0	0	15	44	9	2	56	48	27	62	13	25	0	84	11	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	2	0	0	0	0	0
OTU154	0	0	0	0	7	3	2	3	152	148	102	5	3	1	0	2	0	1	0	0	0	4	0	0	4	1	0	5	0	28	0	0	0	0	0	5	3	0	0	0	1	0	0
OTU1196	0	0	0	0	2	1	0	0	24	14	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0
OTU253	0	0	0	0	6	2	3	12	257	156	150	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	7	1	0	0	0	4	0	0
OTU171	0	0	0	0	1	0	3	2	143	202	203	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0
OTU673	0	0	0	0	5	4	0	0	39	37	37	0	1	0	0	0	8	1	0	0	1	10	0	1	3	0	0	10	7	2	0	1	0	3	0	5	3	5	0	0	2	3	2
OTU608	0	0	0	0	2	7	1	0	17	18	35	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	2	4	1	0	0	0	0	0
OTU701	0	0	0	0	11	0	0	2	22	41	43	0	0	0	0	0	0	0	0	0	1	4	0	0	2	1	0	1	2	6	0	0	0	0	0	0	2	0	0	0	1	0	1
OTU1289	0	0	0	0	5	0	0	2	68	68	60	1	0	1	0	2	8	0	0	0	0	15	0	1	4	0	0	0	24	3	1	0	2	2	2	5	2	0	0	0	0	0	0
OTU602	0	0	0	0	1	0	0	0	4	2	4	0	0	1	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	1
OTU352	0	0	0	0	1	0	0	0	124	161	137	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	1	18	4	2	0	0	1	6	6	4	0	1	0	3	1	1
OTU1225	0	0	0	0	6	0	0	1	42	37	22	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	1	1	1	4	0	0	0	2	0	0	10	0	0	0	4	2	1
OTU632	0	0	0	0	1	2	0	0	22	14	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	11	0	2	0	1	0	0	0
OTU707	0	0	0	0	6	2	1	1	129	122	140	6	0	0	3	4	0	0	0	0	0	2	1	0	1	0	1	0	0	81	0	0	0	0	0	8	0	0	0	2	0	0	2
OTU1222	0	0	0	0	1	32	4	2	29	35	30	4	0	8	0	1	9	0	0	0	0	1	3	0	0	3	0	4	0	3	1	0	0	34	14	3	13	2	0	1	2	0	0
OTU620	0	0	0	0	2	2	0	1	58	53	45	0	0	0	1	0	1	0	1	0	0	3	0	0	2	0	0	3	1	6	0	0	1	13	0	0	4	3	0	0	1	1	0
OTU698	0	0	0	0	1	0	0	0	13	16	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	5	3	5	0	0	0	0	0
OTU51	0	0	0	0	1	0	0	0	10	10	4	0	0	0	0	0	0	0	0	0	0	102	1	0	171	1	1	327	1	179	176	0	0	232	0	0	60	0	0	0	38	115	137
OTU916	0	0	0	0	4	4	0	0	52	43	46	1	0	0	2	0	3	0	0	1	0	2	0	0	0	0	0	1	1	2	0	0	0	3	0	1	8	0	0	0	1	0	0
OTU615	0	0	0	0	3	1	0	0	42	66	20	0	0	0	0	0	2	0	0	2	0	12	0	0	3	0	0	2	4	0	8	0	0	1	0	0	0	0	0	0	3	1	4
OTU935	0	0	0	0	1	0	1	1	36	67	30	2	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	2	1	2	1	0	0	8	0	0	2	0	0	0	0	2	1
OTU966	0	0	0	0	1	2	2	0	6	4	12	0	1	9	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	66	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU341	0	0	0	0	5	0	0	3	200	227	242	8	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	2	0	12	0	0	6	1	3	5	2	2	0	0	1	3
OTU495	0	0	0	0	1	2	2	1	61	62	76	0	0	5	0	0	1	0	0	0	0	4	0	0	3	0	1	6	2	1	1	0	0	19	5	13	3	3	0	0	3	4	1
OTU471	0	0	0	0	2	0	0	0	155	151	136	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	2	0	24	0	0	0	2	3	4	2	1	0	0	2	0	1
OTU183	0	0	0	0	1	0	0	0	11	10	3	0	1	3	1	0	0	3	0	1	1	4	0	0	10	0	0	9	11	161	0	0	0	43	1	0	20	2	1	1	8	5	4
OTU1095	0	0	0	0	4	0	60	22	19	10	25	5	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	1	2	7	0	0	0	4	3	0	1	5	0	2	2	1	1
OTU1242	0	0	0	0	2	13	5	0	97	65	95	7	3	19	0	9	4	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	2	2	0	0	0	0	0	0	0
OTU1031	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	3	0	49	2	0	1	1	0	0	0	0	0
OTU924	0	0	0	0	4	10	6	8	65	84	45	25	3	0	0	0	5	0	0	0	0	2	0	0	1	0	0	0	2	0	2	0	0	0	2	0	6	0	0	1	1	5	4
OTU804	0	0	0	0	3	0	0	1	8	7	11	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1001	0	0	0	0	1	0	0	0	36	29	28	2	0	0	0	1	0	0	0	0	0	9	0	0	1	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0
OTU525	0	0	0	0	1	1	0	0	3	3	12	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0
OTU1308	0	0	0	0	3	2	0	0	6	11	11	2	1	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1
OTU384	0	0	0	0	1	7	0	2	31	36	26	0	2	0	0	0	0	0	0	0	0	5	0	0	2	0	0	1	1	0	0	0	0	2	0	3	3	0	0	0	0	2	1
OTU1043	0	0	0	0	1	0	0	0	18	23	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	18	0	0	1	0	0	0	2	0	0
OTU677	0	0	0	0	1	0	0	0	8	11	4	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	2	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0
OTU1112	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	22	3	4	3	1	1	17	0	8	0	1	2	0	0	1	1	2	0
OTU242	0	0	0	0	1	0	0	1	6	7	4	0	2	0	1	0	1	1	1	0	0	11	0	1	5	0	2	4	5	8	15	0	1	3	1	0	6	0	0	1	2	5	5
OTU368	0	0	0	0	6	0	0	8	111	65	125	0	0	0	0	0	0	0	0	0	4	2	0	0	4	0	0	0	3	66	0	0	0	6	5	23	0	0	0	0	3	0	2
OTU1256	0	0	0	0	1	0	0	0	7	2	2	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	1	2	1
OTU606	0	0	0	0	1	0	0	4	36	26	45	0	1	0	0	0	0	0	0	0	0	11	0	1	1	0	0	2	0	24	0	0	0	1	1	1	1	0	0	0	2	0	2
