#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU129	0	0	1	0	1	0	1	0	0	4	1	0	0	0	1	0	1	2	0	0	1	446	0	0	68	1	2	4	1	1	2	2	0	1	0	2	7	0	1	16	18	0	1
OTU91	0	0	1	0	3	6	25	4	416	358	413	2	0	0	2	0	0	0	0	1	0	18	1	0	20	1	0	3	25	14	1	0	0	19	19	25	3	23	0	0	2	0	5
OTU1014	0	0	2	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	6	0	0	1	0	0	3	0	0	0	1	1	0
OTU2	0	0	1	0	0	1	1	0	24	94	19	0	0	1	0	0	0	0	0	0	0	6147	0	0	8887	0	0	1.928e+04	3816	1.216e+04	1.061e+04	0	0	8277	0	0	3964	0	0	9	1589	9185	5609
OTU1296	0	0	1	0	1	3	1	0	1	13	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	1	0	0	1	0	0	0	0	0
OTU1286	0	0	1	0	1	0	0	0	42	44	45	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	12	6	0	5	0	0	1	1	0
OTU574	0	0	2	0	0	4	1	2	46	52	52	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	6	0	1	0	0	0	0	1
OTU999	0	0	4	4	3	2	1	1	88	99	81	1	0	2	3	2	1	0	1	1	0	2	2	2	3	0	3	4	5	9	12	0	2	5	2	5	13	1	0	1	3	5	3
OTU102	0	0	2	1	3	1	1	8	17	17	11	5	5	1	0	2	2	0	1	0	2	29	0	0	57	0	0	124	11	276	47	0	0	70	0	0	72	0	0	7	18	25	34
OTU164	0	0	1	0	0	0	2	1	145	140	120	4	0	3	0	0	1	0	0	0	0	20	0	0	2	2	0	4	21	5	3	0	0	13	9	11	25	6	0	1	4	1	5
OTU517	0	0	2	6	0	3	27	13	9	11	9	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	1	0	0	0	2	0	0	3	0	0	0	1	2
OTU329	0	0	4	7	0	0	3	8	43	42	13	14	15	6	0	0	0	0	0	1	0	65	0	0	3	1	0	3	4	5	2	0	0	10	2	0	8	0	0	0	3	4	1
OTU124	0	0	1	4	2	6	6	3	14	12	4	10	2	21	4	19	3	0	0	0	1	0	0	0	1	0	0	9	208	4	15	3	0	13	7	1	150	1	0	225	191	44	121
OTU1217	0	0	1	0	0	18	2	1	41	16	36	0	0	25	0	6	0	0	0	0	0	1	0	0	13	0	1	0	2	3	0	0	0	0	5	1	1	0	0	0	1	1	0
OTU1236	0	0	3	0	1	3	3	1	31	24	31	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	7	8	2	0	0	0	2	0	0
