"","Order","Arid dust","Arid limestone","Estimate diff.","low CI","high CI","Arid dust","Hyperarid dolomite","Estimate diff.","low CI","high CI","Hyperarid loess soil","Arid limestone","Estimate diff.","low CI","high CI","Hyperarid loess soil","Hyperarid dolomite","Estimate diff.","low CI","high CI","Hyperarid dust","Hyperarid dolomite","Estimate diff.","low CI","high CI","Arid limestone","Hyperarid dolomite","Estimate diff.","low CI","high CI","Arid limestone","Arid loess soil","Estimate diff.","low CI","high CI","Hyperarid dolomite","Arid loess soil","Estimate diff.","low CI","high CI"
"1","Burkholderiales",22.5372386071482,0.145387274516456,-22.2752639084616,-41.194215255702,-3.35628904326351,22.5372386071482,27.7649248265866,-0.356390931436962,-40.1818341727892,41.1549055361507,0.430585743901105,0.145387274516456,-0.296945883299213,-0.454899783153508,-0.12610253035949,0.430585743901105,27.7649248265866,34.1578050462663,12.6533545431594,40.7717061165875,0.258824741583362,27.7649248265866,34.7953995392033,-0.325322012037782,43.909135015893,0.145387274516456,27.7649248265866,-34.6725597710193,-36.5446267538217,-15.2704660740481,0.145387274516456,0.891630782378441,-0.742789962616026,-1.13434993382317,-0.393469175742648,27.7649248265866,0.891630782378441,-33.784550001199,-40.5236072817283,-11.9738183423383
"2","Sphingobacteriales",0.904164474002411,0.658899170036677,-0.308955675867912,-1.110407934904,0.842309785361611,0.904164474002411,5.99968137684576,-6.12318549191733,-13.0828285208426,1.13109313133392,0.572971462627975,0.658899170036677,0.0191975433451642,-0.664048433312929,0.763918034770822,0.572971462627975,5.99968137684576,6.49137647197907,-0.509651943373237,10.2461214877669,0.271496133565099,5.99968137684576,6.4616602964243,-0.478201756229444,13.6953205183125,0.658899170036677,5.99968137684576,-6.13553938440004,-8.51723280378684,-0.852848862121055,0.658899170036677,3.5659722856502,-3.00207759658795,-4.32941413713207,-1.61220868581578,5.99968137684576,3.5659722856502,-3.71827758932337,-8.0390241368457,3.57276649568451
"3","Enterobacteriales",1.88769929109729,13.1309061595845,3.55366101819599,-0.571362636821935,91.1323680487376,1.88769929109729,1.23382506175352,1.69055023256452,-10.4373791732745,1.91207553685771,33.8334595048111,13.1309061595845,-21.4623747526939,-49.5014891057748,-5.47271734783276,33.8334595048111,1.23382506175352,-26.5830850755897,-51.6898199110001,-22.4220566348646,76.0629584767516,1.23382506175352,-69.9126061760395,-84.1852676776389,-55.639940776431,13.1309061595845,1.23382506175352,5.11499032256191,1.93252763463245,8.0587762391562,13.1309061595845,0.106158062478699,5.3346652748456,1.29848898081467,17.3651561984975,1.23382506175352,0.106158062478699,-0.102849871231368,-0.58435849857679,0.0654245485757668
"4","SubsectionII",0.63465140330995,3.52715342936128,0.194579580746913,-1.04641033167645,14.8662909631333,0.63465140330995,8.29695397177277,-3.53629859484315,-33.5566632036122,0.854149665949058,0.171475174641302,3.52715342936128,0.518323406562601,-0.269664413233144,9.15266416954396,0.171475174641302,8.29695397177277,4.18103401399743,0.157662832327836,23.9114604819665,0.336978957668613,8.29695397177277,4.54996219848444,-0.365177476216681,33.6630337594523,3.52715342936128,8.29695397177277,-1.22273715290608,-8.94077886038412,1.05763590304658,3.52715342936128,0.399008402307783,0.212782873201259,-0.577593411192014,9.03352772177793,8.29695397177277,0.399008402307783,-3.8915356957815,-23.7924120640477,0.122716557202961
"5","Rhizobiales",3.32563330467061,1.76307110887702,-1.46699822081549,-5.88106006725925,2.94706362562826,3.32563330467061,6.71797918856277,-3.35777639859517,-11.6627054500166,5.90128911233569,2.08456868704099,1.76307110887702,-0.501130165383643,-1.99081378942876,1.21150131593209,2.08456868704099,6.71797918856277,4.43860282352832,0.975794336904162,10.1285232866745,7.82875713910197,6.71797918856277,-1.20001391446202,-7.84848726855451,4.60374214043013,1.76307110887702,6.71797918856277,-4.61249995242946,-7.32301402435926,-2.44834200260727,1.76307110887702,4.94572837174114,-2.95621303821906,-4.58820562016008,-2.23401766792026,6.71797918856277,4.94572837174114,-1.60736493934037,-7.26509488195697,1.27673564504529
"6","Subgroup_4",0.817321936595825,1.12571733610842,-0.112658356157663,-1.35581939718398,6.52875001793538,0.817321936595825,2.49679322200941,-1.91120343558837,-4.07592203187119,1.32143491991971,0.886896036251723,1.12571733610842,-0.265192970317535,-0.940313047594239,0.822708562901456,0.886896036251723,2.49679322200941,1.83254699529416,-0.555975084661587,3.24649372375156,0.362076568973121,2.49679322200941,2.40012853921474,-0.612286909210043,4.2773328956963,1.12571733610842,2.49679322200941,-1.96947478474238,-2.84728404976419,-0.323810309110003,1.12571733610842,5.8764728122987,-5.2955544197731,-6.16997624730582,-4.02960201193218,2.49679322200941,5.8764728122987,3.03997790966435,1.71682858562143,5.43908112360174
"7","Sphingomonadales",3.73086227674285,4.19092711816923,0.139970035670302,-5.90344135175449,12.8447195071222,3.73086227674285,4.86544110362511,-0.709981896890205,-8.32622442460362,4.10388034552001,3.4519229302174,4.19092711816923,0.325872069327801,-4.1288685174728,5.95652809140742,3.4519229302174,4.86544110362511,1.48276085679146,-3.22686158350766,5.5058964472934,0.361831396314155,4.86544110362511,5.11769480960578,1.37866527787068,9.58182507325425,4.19092711816923,4.86544110362511,-1.19983558215712,-3.50373105885409,1.09464556618416,4.19092711816923,4.64450863743029,-1.05879998709322,-3.99581637414403,3.0693986450245,4.86544110362511,4.64450863743029,-0.536008710240013,-2.89032976136674,2.81198372896805
"8","Caulobacterales",0.612032086413321,0.512667623520452,-0.0385229410540474,-1.0704489939339,0.947503920894335,0.612032086413321,1.57629252308757,-0.84934619864572,-2.9373694983064,0.523269353456521,0.310555764124246,0.512667623520452,0.218237017847286,-0.431329771923312,0.773392908230143,0.310555764124246,1.57629252308757,1.09627166149191,0.281393497945494,2.46114357872098,0.118539428884256,1.57629252308757,1.28822622449781,0.365259419212229,3.03589867193836,0.512667623520452,1.57629252308757,-0.921410644717936,-1.67979140940181,-0.436026644867624,0.512667623520452,0.536134210367589,0.0155146286288187,-0.432234004681229,0.363903181500487,1.57629252308757,0.536134210367589,-0.960720649870301,-2.04370526960104,-0.09648900422903
"9","Rubrobacterales",0.150660290008025,21.3002831628697,23.0592084832855,1.3439656388355,35.2803451538829,0.150660290008025,10.5486409265222,-4.19969415029883,-34.3940997866757,-0.0704812373134824,4.89067020475932,21.3002831628697,17.1195370626427,5.2068326853525,27.5532334743969,4.89067020475932,10.5486409265222,0.306165528360056,-6.01319043894128,27.5807936047631,0.290135462549256,10.5486409265222,4.63986512692535,-0.172938630738289,34.3585874140513,21.3002831628697,10.5486409265222,13.5027608326372,1.00705716715018,21.5960039006105,21.3002831628697,6.60567919598779,16.8280773273147,5.37744165719958,24.8197253106287,10.5486409265222,6.60567919598779,1.69515977761565,-26.4147425722607,5.85523794996817
"10","Cytophagales",35.3862994131431,4.09161542469253,-27.6908699493508,-67.4913726217896,13.7944220656493,35.3862994131431,1.02422792904182,34.9021379555829,0.999585226125317,67.2950901820401,1.55472707762862,4.09161542469253,1.33748114199181,-1.0695866273969,5.46517721947479,1.55472707762862,1.02422792904182,-0.278622450499419,-1.83924884753611,0.352615940558566,0.392896944621083,1.02422792904182,0.541578817324812,-0.194821204979355,1.88703455947124,4.09161542469253,1.02422792904182,2.37484668977545,0.416068961367345,3.91956634778685,4.09161542469253,2.02671733403271,1.17180108833157,-1.86669203762975,5.14585671903804,1.02422792904182,2.02671733403271,1.15730542576926,0.15456519793107,1.86294824672255
